Date,Basic_Materials_vol_today,Consumer_Cyclicals_vol_today,Consumer_Non-Cyclicals_vol_today,Energy_vol_today,Financials_vol_today,Industrials_vol_today,Infrastuctures_vol_today,Kesehatan_vol_today,Properties_Real_Estate_vol_today,Technology_vol_today,Transportation_Logistic_vol_today,Basic_Materials_ret_today,Consumer_Cyclicals_ret_today,Consumer_Non-Cyclicals_ret_today,Energy_ret_today,Financials_ret_today,Industrials_ret_today,Infrastuctures_ret_today,Kesehatan_ret_today,Properties_Real_Estate_ret_today,Technology_ret_today,Transportation_Logistic_ret_today,Basic_Materials_news,Consumer_Cyclicals_news,Consumer_Non-Cyclicals_news,Energy_news,Financials_news,Industrials_news,Infrastuctures_news,Kesehatan_news,Properties_Real_Estate_news,Technology_news,Transportation_Logistic_news,Basic_Materials_vol_tplus7,Consumer_Cyclicals_vol_tplus7,Consumer_Non-Cyclicals_vol_tplus7,Energy_vol_tplus7,Financials_vol_tplus7,Industrials_vol_tplus7,Infrastuctures_vol_tplus7,Kesehatan_vol_tplus7,Properties_Real_Estate_vol_tplus7,Technology_vol_tplus7,Transportation_Logistic_vol_tplus7,Basic_Materials_sum_return_7d_fwd,Consumer_Cyclicals_sum_return_7d_fwd,Consumer_Non-Cyclicals_sum_return_7d_fwd,Energy_sum_return_7d_fwd,Financials_sum_return_7d_fwd,Industrials_sum_return_7d_fwd,Infrastuctures_sum_return_7d_fwd,Kesehatan_sum_return_7d_fwd,Properties_Real_Estate_sum_return_7d_fwd,Technology_sum_return_7d_fwd,Transportation_Logistic_sum_return_7d_fwd
2015-01-13,0.016789758532326,0.0231630973301108,0.0114994545200935,0.0118779987143767,0.0147149290376512,0.0220579791957458,0.01638261638691,0.010152080179377,0.0168450412427907,0.004780661411905,0.0173670653487614,-0.0010488198017178,0.0,-0.0001850443078314,0.0,0.0063816490828216,0.0,0.0026571947615303,-0.003638831815126,0.0,0.0,-0.0036488951956213,570.8959465026855,5131.0,570.8959465026855,570.8959465026855,570.8959465026855,5131.0,846.6182022094727,0.0,570.8959465026855,1268.447723388672,1268.447723388672,0.015544689497437491,0.01833162384447267,0.01255776472272976,0.02040704342473224,0.010411814133051167,0.01840915710763306,0.009382275099147718,0.015309758382115608,0.017290126343446642,0.016763574512415527,0.01760841150190521,0.0023766330562938,0.0033222591362125,0.0047808701413707,0.0046738934352297,-0.004181678125613,0.0,0.0,0.0169056584511555,0.0291731785368756,0.0,0.0
2015-01-14,0.0193113294561301,0.0225817418608688,0.0149444339720157,0.0171470161647443,0.0138644330029994,0.0193804712105926,0.0164847613471209,0.0113849077117441,0.0169593765427813,0.0042433692726488,0.0179979372165372,-0.0184194920405088,0.0,-0.0117220015266126,-0.0207290922087206,-0.0057677800840568,-0.0057715674362089,-0.0052834879900546,-0.0026620560952851,-0.0165339247908056,0.0,0.0,586.2568054199219,5203.0,586.2568054199219,586.2568054199219,586.2568054199219,5203.0,856.2491073608398,0.0,586.2568054199219,1327.1351470947266,1327.1351470947266,0.007998166097494012,0.021073093236992937,0.01155163466718369,0.02257979383363783,0.013492295935761834,0.015130944878220833,0.006440727404465382,0.01288706603247123,0.020988485593845,0.016806704045502118,0.015821040991776458,0.0045031914072546,0.0054756306088614,0.0058948464178018006,0.0046738934352297,0.005287153636503299,0.0,0.0034697518634865,0.024722840424117896,0.0291731785368756,0.0040946825218757,0.0
2015-01-15,0.0188410399667681,0.0233934909229588,0.0126022658366347,0.0170886420598841,0.0099835163182129,0.0196909831931862,0.0150797264315655,0.0109942059315461,0.014131166490987,0.0063272823496194,0.016258774741439,0.0,0.0,0.0,0.0,0.0,0.0,0.0023085989234639,-0.0022854915225095,0.0106651153771573,0.0010373443983402,0.0,476.5794639587402,5301.0,476.5794639587402,476.5794639587402,476.5794639587402,5301.0,820.3991165161133,0.0,476.5794639587402,1352.5748596191406,1352.5748596191406,0.012620342936814062,0.012355738767824727,0.017753017475377803,0.02016973610495336,0.015448393900140531,0.015016497915468966,0.014435177400240008,0.017260110131969757,0.016619081713833993,0.013122972325116774,0.02156131114685412,-0.0007580567785218,0.0054756306088614,0.0031665014041153006,-0.003800682835956701,0.005287153636503299,0.0,-0.006666029356632101,0.015569764051250597,0.025900451264148302,0.0040946825218757,-0.0079629104215983
2015-01-16,0.0199036608381247,0.0191288655811475,0.0126568081707888,0.0170886420598841,0.0129285564037277,0.0185456476190093,0.0095795664705408,0.0094745636535731,0.0155460015342463,0.0164460530351532,0.0119828248055787,0.0045871559633027,0.0,-0.0053944283564318,-0.0023980815347721,0.0,0.0,0.0,0.0,0.0,-0.02353616532721,0.0,531.9919471740723,5352.0,531.9919471740723,531.9919471740723,531.9919471740723,5352.0,911.7942428588868,0.0,531.9919471740723,1497.7896347045898,1497.7896347045898,0.013554313144262283,0.013104139095316453,0.010243873066784507,0.0234541253157183,0.012210307267269427,0.020507888239461727,0.011185666726912931,0.012508933715885184,0.01491707884916816,0.007368959214459279,0.022233655663645956,-0.0007580567785218,0.0032611518255221002,0.0038900248871949006,0.000958882252098699,0.005287153636503299,0.0070300043484563,-0.006666029356632101,0.016919780514865996,0.025900451264148302,0.0040946825218757,-0.0079629104215983
2015-01-19,0.0145364571416031,0.0185694566577614,0.0112844035065851,0.0204802691541297,0.0101439357245162,0.0212696893406947,0.0095795664705408,0.0090896423568026,0.0173610576821588,0.0158429553660976,0.0122700293849587,-0.0044965039977671,0.0,0.0,-0.003726234034434,0.0023369959937211,0.0,0.0,0.0009552042160737,0.0,0.0050312553692185,0.0,494.3765068054199,5385.0,494.3765068054199,494.3765068054199,494.3765068054199,5385.0,835.4632263183594,0.0,494.3765068054199,1322.5656814575195,1322.5656814575195,0.013676845355644644,0.013190124512466978,0.011595863889564809,0.018803615686027297,0.013057216532774227,0.021788421105133807,0.012634758345643371,0.016099513621637043,0.019890995873747784,0.00813248800122911,0.020337795115167097,-0.0018407765706395,0.0032611518255221002,0.0035383503237779008,0.000958882252098699,0.0012526273129481987,0.0070300043484563,-0.006666029356632101,0.018269445561496796,0.0218338138649477,0.012340139107022599,-0.0079629104215983
2015-01-20,0.0139571024381409,0.020425410909053,0.0124442890695115,0.0216884048149161,0.0094512014747949,0.0204712293212637,0.0095795664705408,0.0091433468315872,0.0164876548061778,0.0154047542266921,0.0154326098235096,0.0,0.0,0.0,0.0,-0.0047206453540483,0.0,0.0,-0.0028568610691038,0.0,0.0,-0.0080486439221942,534.760555267334,5357.0,534.760555267334,534.760555267334,534.760555267334,5357.0,859.1997528076172,0.0,534.760555267334,1314.4826126098633,1314.4826126098633,0.016107264963020295,0.011456083674329402,0.013363366354282423,0.016868951069127638,0.011724640587735478,0.022012010211830718,0.011909078741683093,0.012513130740504145,0.015015970492543737,0.019352591949293795,0.029158385834393386,0.0041762656629206005,0.0032611518255221002,-0.0009219857902285993,-0.005330425924001901,0.0012526273129481987,0.011786435439661,-0.006666029356632101,0.022593956891716498,0.0243494218374898,0.039629934180529104,-0.0079629104215983
2015-01-21,0.014091821132336,0.0231755071503062,0.0112448747006198,0.0207112150044695,0.0082838427453731,0.0244216588925647,0.009484740717043,0.010115414429781,0.0169753727556396,0.0167772563392012,0.0131415787972743,-0.0023653897294497,0.0,0.0,0.0,0.0,0.0,0.0,0.0064999417103729,0.0,-0.0070786296004765,0.0,581.2500343322754,5373.0,581.2500343322754,581.2500343322754,581.2500343322754,5373.0,919.3171310424804,0.0,581.2500343322754,1352.5981063842771,1352.5981063842771,0.021692445850626876,0.013374304924856277,0.012586774912195895,0.015183160639591435,0.012220428168071252,0.021798073310217096,0.01051939449159643,0.01670646742829486,0.020408916035779618,0.016917339502633997,0.025636512859999853,0.0063303081967128,0.0054854820731424,-0.0005495540176603992,-0.005330425924001901,0.0012526273129481987,0.011786435439661,-0.006666029356632101,0.030609664912925195,0.0243494218374898,0.05316616068027691,-0.0079629104215983
2015-01-22,0.0148091005154962,0.0206849172380364,0.0128466250117848,0.0209738999953226,0.0099285503804099,0.0184454591626583,0.0087733743111323,0.0154347612869911,0.0166294925851903,0.0166077392038463,0.0176319439137323,0.0023766330562938,0.0033222591362125,0.0047808701413707,0.0046738934352297,-0.004181678125613,0.0,0.0,0.0169056584511555,0.0291731785368756,0.0,0.0,626.7110137939453,5324.0,626.7110137939453,626.7110137939453,626.7110137939453,5324.0,885.0705108642578,0.0,626.7110137939453,1231.0161361694336,1231.0161361694336,0.024218586405460298,0.017638465945177154,0.011538726524433742,0.01694656206734715,0.010940664730536934,0.02270349331433327,0.012341285366149023,0.015438159395716754,0.012121923495964347,0.019154449185378085,0.023550533732983586,-0.0009532714633655997,-0.007270739327221,-0.005330424159031099,-0.0100043193592316,0.005434305438561199,0.011786435439661,-0.006666029356632101,0.013470172401111698,-0.0179772587358417,0.0482535684908751,-0.0079629104215983
2015-01-23,0.0081103026300369,0.0215064295856884,0.012734395210548,0.0220986656602404,0.0132312260987294,0.0157172920825821,0.0081590226300835,0.0147441891437598,0.0194588338273266,0.0167719715002442,0.0197720667464888,0.0021265583509608,0.0021533714726489,0.0011139762764311,0.0,0.0094688317621163,0.0,0.0034697518634865,0.0078171819729624,0.0,0.0040946825218757,0.0,641.6102981567383,5304.0,641.6102981567383,641.6102981567383,641.6102981567383,5304.0,838.0808792114258,0.0,641.6102981567383,1097.2243347167969,1097.2243347167969,0.015505809994036437,0.017805613525498903,0.01188822159968726,0.01741430283614604,0.011697338229320633,0.01583262395274533,0.015948977267695646,0.010716943523999229,0.015017730694303842,0.02309224124377433,0.011149596508056666,-0.0030798298143264,-0.0094241107998699,-0.0064444004354622,-0.0100043193592316,-0.0019052364306827003,0.011786435439661,-0.0030050855137079002,0.004726087880765499,-0.001299315569400699,0.0441588859689994,-0.0079629104215983
2015-01-26,0.0118526597501933,0.0123638015925867,0.0137240932076467,0.0219825258469685,0.0143391893293146,0.0168443481051024,0.0128952888682308,0.0166648534343455,0.018356749846203,0.0146932830939451,0.0200941242679369,-0.0052612481857764,0.0,-0.0027283450136865,-0.0084745762711864,0.0,0.0,-0.0101357812201186,-0.0091530763728673,-0.0032727272727273,0.0,-0.0079629104215983,710.7586059570312,5359.0,710.7586059570312,710.7586059570312,710.7586059570312,5359.0,875.5244674682617,0.0,710.7586059570312,1166.127098083496,1166.127098083496,0.015210882115421744,0.021637475101937007,0.008440898822276985,0.017786458090371823,0.01150559687357395,0.013662266444554476,0.017005213917849236,0.012084857309706152,0.017474462659209006,0.027991533850019092,0.021314302377948156,-0.0020660290744362996,-0.0094241107998699,-0.006212423713863199,-0.0004364747533975996,0.0002268813504440999,0.011786435439661,0.0122566007490198,0.004700158116567901,0.001973411703326601,0.04592276545660451,-0.0035235260784887
