Date,Sector,SectorVolatility_7d,SectorReturn_avg,ArticlesCount_Daily,GPR_Daily,GPR_Action_Daily,GPR_Threat_Daily
2015-01-13,Basic Materials,0.016789758532326098,-0.0010488198017178374,5131.0,846.6182022094727,1268.4477233886719,570.8959465026855
2015-01-14,Basic Materials,0.019311329456130153,-0.018419492040508856,5203.0,856.2491073608398,1327.1351470947266,586.2568054199219
2015-01-15,Basic Materials,0.01884103996676814,0.0,5301.0,820.3991165161133,1352.5748596191406,476.57946395874023
2015-01-16,Basic Materials,0.019903660838124778,0.004587155963302725,5352.0,911.7942428588867,1497.7896347045898,531.9919471740723
2015-01-19,Basic Materials,0.014536457141603155,-0.004496503997767187,5385.0,835.4632263183594,1322.5656814575195,494.3765068054199
2015-01-20,Basic Materials,0.01395710243814098,0.0,5357.0,859.1997528076172,1314.4826126098633,534.760555267334
2015-01-21,Basic Materials,0.014091821132336018,-0.002365389729449774,5373.0,919.3171310424805,1352.5981063842773,581.2500343322754
2015-01-22,Basic Materials,0.014809100515496247,0.0023766330562938753,5324.0,885.0705108642578,1231.0161361694336,626.7110137939453
2015-01-23,Basic Materials,0.008110302630036956,0.002126558350960872,5304.0,838.0808792114258,1097.2243347167969,641.6102981567383
2015-01-26,Basic Materials,0.01185265975019335,-0.005261248185776446,5359.0,875.5244674682617,1166.127098083496,710.7586059570312
2015-01-27,Basic Materials,0.011762803110958484,0.0,5353.0,795.3952331542969,1041.6936569213867,658.9864273071289
2015-01-28,Basic Materials,0.014004771813889934,-0.00108271979211777,5319.0,793.3460235595703,1050.0577774047852,642.954719543457
2015-01-29,Basic Materials,0.016493437284564347,0.006017042233560144,5326.0,800.0830612182617,1003.9957733154297,698.6819915771484
2015-01-30,Basic Materials,0.01873395557733893,0.0021540425337922553,5340.0,817.48486328125,986.692497253418,735.3636932373047
2015-02-02,Basic Materials,0.022492438556314977,-0.004906946603784601,5297.0,748.96533203125,806.2750015258789,721.2966690063477
2015-02-03,Basic Materials,0.01626962732375762,0.0,5293.0,795.053825378418,870.5654678344727,789.8694000244141
2015-02-04,Basic Materials,0.014428072548352232,-0.004247447445886399,5291.0,739.2905197143555,724.691234588623,804.5146865844727
2015-02-05,Basic Materials,0.01153679473709191,-0.014722351732861072,5299.0,723.4384231567383,694.1640510559082,778.6018295288086
2015-02-06,Basic Materials,0.011259374916373223,0.0021587171052631637,5251.0,763.3570327758789,749.0237159729004,813.4832077026367
2015-02-09,Basic Materials,0.010724665699651784,0.0,5353.0,840.8484497070312,771.7148857116699,884.3319854736328
2015-02-10,Basic Materials,0.010932746729665488,0.0,5317.0,833.8257751464844,676.5137901306152,931.3007202148438
2015-02-11,Basic Materials,0.013827725930467827,0.004310344827586188,5327.0,853.9748992919922,760.8519515991211,922.6391525268555
2015-02-12,Basic Materials,0.014565681141069105,0.0,5346.0,841.1590042114258,817.7998199462891,878.0941009521484
2015-02-13,Basic Materials,0.01661678895732653,-0.010995324335551837,5384.0,814.3585586547852,733.2577743530273,883.485595703125
2015-02-16,Basic Materials,0.016338227344484497,-0.0023836645150402958,5203.0,694.9742317199707,777.0794906616211,664.9820556640625
2015-02-17,Basic Materials,0.016699535987575204,0.0,5208.0,684.4910697937012,833.3302688598633,616.1733245849609
2015-02-18,Basic Materials,0.01664752002670267,0.0,5202.0,728.3182487487793,868.6545333862305,638.4919662475586
2015-02-20,Basic Materials,0.016827444772947987,-0.0017409470752088874,5138.0,792.7759284973145,961.8495864868164,714.3789978027344
2015-02-23,Basic Materials,0.008198052064524942,0.0,5302.0,883.0023193359375,915.6758079528809,909.7439651489258
2015-02-24,Basic Materials,0.0077980763020503415,-0.00108271979211777,5317.0,908.345817565918,893.8938407897949,930.1499252319336
2015-02-25,Basic Materials,0.006827935672215667,-0.004973479672646608,5299.0,868.0515670776367,819.0482139587402,918.7630386352539
2015-02-26,Basic Materials,0.0066604885350363165,0.005740799206370273,5330.0,819.2541427612305,718.8544120788574,882.9744644165039
2015-02-27,Basic Materials,0.0068199223457108375,0.0,5320.0,788.341423034668,687.9381294250488,850.9050979614258
2015-03-02,Basic Materials,0.00689149092621329,0.0,5348.0,732.8985977172852,502.3761291503906,867.8022155761719
2015-03-03,Basic Materials,0.007009865086700804,-0.006459781879786797,5391.0,733.1828384399414,477.4402084350586,888.1902008056641
2015-03-04,Basic Materials,0.006829313632189768,-0.003587911905646668,5427.0,837.1234512329102,506.5220260620117,1043.1074676513672
2015-03-05,Basic Materials,0.006965367825191009,0.0,5376.0,819.5477600097656,533.1753005981445,985.9286575317383
2015-03-06,Basic Materials,0.006656535421104214,0.0,5410.0,799.651496887207,529.2620086669922,961.7921295166016
2015-03-09,Basic Materials,0.006753820722208972,0.0010850694444444198,5436.0,756.1786231994629,547.7581233978271,911.1982269287109
2015-03-10,Basic Materials,0.0072365539194159615,-0.0039543483498885035,5420.0,696.5770301818848,505.28946113586426,840.3521041870117
2015-03-11,Basic Materials,0.007430924164030054,-0.006027559187279097,5395.0,556.3030281066895,457.52857398986816,633.1689147949219
2015-03-12,Basic Materials,0.007464406487789954,0.0,5481.0,584.4239692687988,484.8569583892822,650.6979293823242
2015-03-13,Basic Materials,0.006614310545944377,-0.003701334287938618,5464.0,566.2310218811035,454.9434452056885,619.3761825561523
2015-03-16,Basic Materials,0.0073081838885733115,-0.004413818251532697,5392.0,634.1024017333984,576.0991172790527,658.5779647827148
2015-03-17,Basic Materials,0.010875815857893628,0.0,5369.0,641.6231155395508,559.639518737793,685.054443359375
